id,deal,bookings,amount,create_date,create_quarter,close_date,close_quarter,pipeline,stage,owner,product_group,programmatic,deal_source,source_new,source_free_text,lost_reason,lost_reason_text,competing_against,won_reason,forecast_category,likelihood,link
34494803771,Orion Technical College - Orion Technical Institute Only SIS & CRM,37509.0,37509.0,2025-03-10,2025,2026-07-30,Q3,Bookings,5. Proof and Validation,Noel Suarez,Verity Dialog,,,,,Competitor,"Lost to Diamond, school director had used Verity before and didn't like it",,,BEST_CASE,,https://app.hubspot.com/contacts/7762472/deal/34494803771
38373213252,Education Affiliates - Payments,300000.0,300000.0,2025-06-03,2025,2026-11-20,Q4,Bookings,6. Proposal and Negotiation,Jackson Batchelder,Payments,,Website,Conference,,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/38373213252
43319666461,"Airstreams Renewables, Inc. - New Deal - CRM/SIS",174948.0,174948.0,2025-09-03,2025,2026-10-28,Q4,Bookings,5. Proof and Validation,Noel Suarez,Verity Dialog,,Conference/Trade Show,,,,,,,BEST_CASE,,https://app.hubspot.com/contacts/7762472/deal/43319666461
43373963322,Southeastern College - Ent Clinical,49392.0,59392.0,2025-09-04,2025,2026-06-26,Q2,Bookings,6. Proposal and Negotiation,Jackson Batchelder,Attendance_;Clinical Record Keeping;Verity Professional Services,,Conference/Trade Show,Conference,,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/43373963322
46557831550,Education Affiliates - SIS/CRM/FA (Bundle),1440000.0,1440000.0,2025-10-20,2025,2026-11-20,Q4,Bookings,4. Demo and Differentiation,Jackson Batchelder,,,Cold outreach,,,,,,,PIPELINE,,https://app.hubspot.com/contacts/7762472/deal/46557831550
51515127210,Huntington Junior College - Huntington - SIS/CRM,46189.44,46189.44,2025-12-09,2025,2026-07-31,Q3,Bookings,5. Proof and Validation,Jackson Batchelder,Verity Dialog,,Cold outreach,,,,,,,BEST_CASE,,https://app.hubspot.com/contacts/7762472/deal/51515127210
51804355971,Southeastern Technical Institute - Easton - DA New Deal,2400.0,2400.0,2025-12-14,2025,2026-07-31,Q3,Bookings,4. Demo and Differentiation,Mark Moore,Clinical Record Keeping,,,,Matrix,,,,,PIPELINE,,https://app.hubspot.com/contacts/7762472/deal/51804355971
51843221790,Mercer County Community College - Nursing-ADN New Deal,22500.0,22500.0,2025-12-14,2025,2026-08-28,Q3,Bookings,6. Proposal and Negotiation,Ron Bright,Clinical Record Keeping,,Association,,Matrix/OADN Member,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/51843221790
51843251276,Southeast Technical College - Behavior and Mental Health Technician New Deal,600.0,600.0,2025-12-14,2025,2026-07-16,Q3,Bookings,5. Proof and Validation,Mandy Ray,Clinical Record Keeping,,Cold outreach,,Top 20 Matrix,,,,,BEST_CASE,,https://app.hubspot.com/contacts/7762472/deal/51843251276
51843224483,San Bernardino Valley College - San Bernardino - Pharmacy Tech New Deal,1500.0,1500.0,2025-12-14,2025,2026-07-31,Q3,Bookings,4. Demo and Differentiation,Mark Moore,Clinical Record Keeping,,Conference/Trade Show,,2025 PTEC,,,,,PIPELINE,,https://app.hubspot.com/contacts/7762472/deal/51843224483
51843231547,University of Nebraska Medical Center - DH New Deal,50.0,0.0,2025-12-14,2025,2026-08-17,Q3,Bookings,6. Proposal and Negotiation,Mark Moore,Clinical Record Keeping,,,,Matrix,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/51843231547
51843251279,Hinds Community College - PTA New Deal,2400.0,2400.0,2025-12-14,2025,2026-08-10,Q3,Bookings,6. Proposal and Negotiation,Mark Moore,Clinical Record Keeping,,Cold outreach,,Matrix,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/51843251279
51843279016,Lamar State College - Orange - CM -Pharmacy Tech ,2500.0,2500.0,2025-12-14,2025,2026-07-31,Q3,Bookings,6. Proposal and Negotiation,Mark Moore,Clinical Record Keeping,,Conference/Trade Show,Cold Outreach,2025 PTEC,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/51843279016
51797805431,Montana State University - Northern - Nursing-ADN New Deal,5250.0,5250.0,2025-12-14,2025,2026-07-31,Q3,Bookings,4. Demo and Differentiation,Ron Bright,Clinical Record Keeping,,Conference/Trade Show,,2024 ACEN,,,,,PIPELINE,,https://app.hubspot.com/contacts/7762472/deal/51797805431
51846913074,"Great Bay CC - Nursing-PN, ADN New Deal",7200.0,7200.0,2025-12-14,2025,2026-11-20,Q4,Bookings,5. Proof and Validation,Ron Bright,Clinical Record Keeping,,Cold outreach,,Matrix,,,,,BEST_CASE,,https://app.hubspot.com/contacts/7762472/deal/51846913074
51846850194,Guilford Technical Community College - DA New Deal,3600.0,3600.0,2025-12-14,2025,2026-08-28,Q3,Bookings,6. Proposal and Negotiation,Mark Moore,Clinical Record Keeping,,,,Top 20 Matrix,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/51846850194
51846888822,Enterprise State Community College - Nursing-ADN New Deal,12050.0,12050.0,2025-12-14,2025,2026-07-30,Q3,Bookings,5. Proof and Validation,Ron Bright,Clinical Record Keeping,,Referral;Website,,2026 Info Request,,,,,BEST_CASE,,https://app.hubspot.com/contacts/7762472/deal/51846888822
51843155006,Stepful - Nursing LVN New Deal,4000.0,4000.0,2025-12-14,2025,2026-07-17,Q3,Bookings,6. Proposal and Negotiation,Ron Bright,Clinical Record Keeping,,Website,,2025 Web Inquiry,,,,,MOST_LIKELY,,https://app.hubspot.com/contacts/7762472/deal/51843155006
