id,deal,bookings,amount,create_date,create_quarter,close_date,close_quarter,pipeline,stage,owner,product_group,programmatic,deal_source,source_new,source_free_text,lost_reason,lost_reason_text,competing_against,won_reason,forecast_category,likelihood,link
2372924615,Unitek Corporate - SOF 1 [Attend],180000.0,180000.0,2016-09-14,2016,2017-12-01,2017,Bookings,7. Closed Won,Jackson Batchelder,,,,,,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/2372924615
2371349522,Porter and Chester Institute - Conversion,102600.0,102600.0,2016-10-20,2016,2020-10-16,2020,Bookings,7. Closed Won,50391471,,,,,,,,,Conversion Project Challenges,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/2371349522
2372914505,Abco Technology,0.0,5000.0,2016-10-20,2016,2017-09-14,2017,Bookings,Closed Lost,Jackson Batchelder,,,,,,,Too small,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372914505
2372888804,Advance Beauty Techs Academy,0.0,8100.0,2016-10-20,2016,2021-03-23,2021,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372888804
2372923726,"Angeles Institute, LLC",0.0,9600.0,2016-10-20,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372923726
2372906150,American University of Health Sciences,0.0,24900.0,2016-10-20,2016,2016-10-31,2016,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372906150
2372903153,Academy of Esthetics and Cosmetology,0.0,3500.0,2016-10-20,2016,2016-11-09,2016,Bookings,Closed Lost,Jackson Batchelder,,,,,,,Too small,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372903153
2372881791,Nurse Builders Academy,0.0,1000.0,2016-10-20,2016,2016-10-31,2016,Bookings,Closed Lost,Jackson Batchelder,,,,,,,They don't take Title IV Funding,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372881791
2372904040,Angeles College,0.0,15600.0,2016-10-20,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372904040
2372856893,American College of Healthcare,0.0,11100.0,2016-10-20,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372856893
2372903149,American Beauty College,0.0,11800.0,2016-10-20,2016,2021-03-23,2021,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372903149
2372907290,Advanced Computing Institute,0.0,41400.0,2016-10-20,2016,2021-03-23,2021,Bookings,Closed Lost,Jackson Batchelder,,,,,,School closed,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372907290
2372905727,American Medical Sciences Center,0.0,10500.0,2016-10-20,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372905727
2372903150,American Institute of Massage Therapy,0.0,1500.0,2016-10-20,2016,2016-10-31,2016,Bookings,Closed Lost,Jackson Batchelder,,,,,,,Too Small,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372903150
2371351753,Adrian's College of Beauty Turlock,0.0,11900.0,2016-10-20,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2371351753
2372905726,Beverly Hills Design Institute,0.0,1800.0,2016-10-20,2016,2017-07-07,2017,Bookings,Closed Lost,Jackson Batchelder,,,,,,,Got shot down,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372905726
2372904036,Academy for Salon Professionals,0.0,8500.0,2016-10-20,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372904036
2372921853,Shasta School of Cosmetology,0.0,7100.0,2016-10-21,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372921853
2372881783,Five Branches University,0.0,30500.0,2016-10-22,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372881783
2372888807,South Coast College,0.0,26300.0,2016-10-22,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372888807
2372880680,American Career College,0.0,287100.0,2016-10-22,2016,2021-03-23,2021,Bookings,Closed Lost,Jackson Batchelder,,,,,,,created their own solution,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372880680
2372906143,West Coast University,0.0,678200.0,2016-10-22,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372906143
2372924603,San Diego Culinary Institute,0.0,3900.0,2016-10-26,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,School closed,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372924603
2372880684,National Holistic Institute,0.0,95400.0,2016-10-26,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372880684
2371331682,Palladium Technical Academy,0.0,3600.0,2016-10-26,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2371331682
2372904041,Federico Beauty Institute - SOF 1 [Sync Attend],13500.0,13500.0,2016-10-26,2016,2020-06-24,2020,Bookings,7. Closed Won,Jackson Batchelder,,,,,,,,,,CLOSED,,https://app.hubspot.com/contacts/7762472/deal/2372904041
2372923727,Sofia University,0.0,0.0,2016-10-26,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372923727
2372880681,California Intercontinental University,0.0,0.0,2016-10-26,2016,2017-01-05,2017,Bookings,Closed Lost,Jackson Batchelder,,,,,,,Online School Only,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372880681
2371331677,California Miramar University,0.0,21000.0,2016-10-26,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2371331677
2372880692,University of East-West Medicine,0.0,3000.0,2016-10-26,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2372880692
2371331684,Pacific College,0.0,35000.0,2016-10-26,2016,,No close date,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2371331684
