id,deal,bookings,amount,create_date,create_quarter,close_date,close_quarter,pipeline,stage,owner,product_group,programmatic,deal_source,source_new,source_free_text,lost_reason,lost_reason_text,competing_against,won_reason,forecast_category,likelihood,link
2371349577,Saint Michael College of Allied Health deal,0.0,4700.0,2018-10-17,2018,2026-05-02,Q2,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2371349577
29547268628,Swedish Institute a College of Health Sciences - New York - CRM and SIS,334776.0,334776.0,2024-11-25,2024,2026-06-29,Q2,Bookings,Closed Lost,Noel Suarez,Attendance_;Skills Tracker;Verity Dialog,,Cold outreach,Cold Outreach,,Bad timing,"school purchased by a Universidad Tres Culturas, from outside US.  New entity has salesforce as well and want to continue using it.  Bad timing to move off Vias with the sale",,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/29547268628
34811980956,Florida Education Institute - Miami - SIS,68867.88,68867.88,2025-03-19,2025,2026-04-02,Q2,Bookings,Closed Lost,Noel Suarez,Verity Dialog,,,,,Other,"Unfortunately, we cannot make the conference.  Also, we are not interested in the SIS since we have resolved our needs in this area.
 
Best",,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/34811980956
43542992985,Nurtur Holdings - Payments,40000.0,40000.0,2025-09-11,2025,2026-05-12,Q2,Bookings,Closed Lost,Dylan Harmon,Payments,,User Conference,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/43542992985
46637536807,Little Priest Tribal College - Attendance,25000.0,25000.0,2025-10-21,2025,2026-04-02,Q2,Bookings,Closed Lost,Jackson Batchelder,Attendance_;Verity Professional Services,,Website,,,Budget,They were worried about budget after a grant ran out,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/46637536807
51340169348,St Louis College of Health Careers - St Louis - FA Student Services,17883.51,17883.51,2025-12-05,2025,2026-04-30,Q2,Bookings,Closed Lost,Noel Suarez,FA Service,,CS Product Add-On,,,No contact,No contact,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51340169348
51846884133,Northland Community and Technical College - Rad Tech New Deal,50.0,0.0,2025-12-14,2025,2026-04-07,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,2025 ACERT,Other,Data integration error-current client,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51846884133
51843192726,Georgia Northwestern Technical College - Human Lactation New Deal,50.0,0.0,2025-12-14,2025,2026-05-06,Q2,Bookings,Closed Lost,Mandy Ray,Clinical Record Keeping,,,,,Other,Program no longer oiffered,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51843192726
51831093146,Chattahoochee Technical College - Radiologic Technology New Deal,50.0,0.0,2025-12-14,2025,2026-04-13,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,,Bad timing,Preceptor concern,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51831093146
51843214389,Baptist Health System School of Health Professions - Radiography,4000.0,4000.0,2025-12-14,2025,2026-04-13,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,Information Request 2024,Other,Duplicate,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51843214389
51802848133,Medical Career College - LXR & LXR MA New Deal,50.0,0.0,2025-12-14,2025,2026-04-09,Q2,Bookings,Closed Lost,Shawna Granger,Clinical Record Keeping,,,,Information Request 2023,No contact,Silent,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/51802848133
