id,deal,bookings,amount,create_date,create_quarter,close_date,close_quarter,pipeline,stage,owner,product_group,programmatic,deal_source,source_new,source_free_text,lost_reason,lost_reason_text,competing_against,won_reason,forecast_category,likelihood,link
2371349577,Saint Michael College of Allied Health deal,0.0,4700.0,2018-10-17,2018,2026-05-02,Q2,Bookings,Closed Lost,Jackson Batchelder,,,,,,,,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/2371349577
22251605062,ECPI University - Virginia Beach - New Deal,187200.0,187200.0,2024-09-13,2024,2026-01-06,Q1,Bookings,Closed Lost,644733013,Attendance_,,,Cold Outreach,,Bad timing,Bad timing,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/22251605062
29371072858,California Aeronautical University - sync payments and nudges,36540.0,36540.0,2024-11-19,2024,2026-01-07,Q1,Bookings,Closed Lost,Cayla Christoplis,Attendance_;Forms,,,Cold Outreach,,No contact,No contact,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/29371072858
29547268628,Swedish Institute a College of Health Sciences - New York - CRM and SIS,334776.0,334776.0,2024-11-25,2024,2026-06-29,Q2,Bookings,Closed Lost,Noel Suarez,Attendance_;Skills Tracker;Verity Dialog,,Cold outreach,Cold Outreach,,Bad timing,"school purchased by a Universidad Tres Culturas, from outside US.  New entity has salesforce as well and want to continue using it.  Bad timing to move off Vias with the sale",,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/29547268628
32022866012,"First Institute - SIS, Paperless, CRM",43608.0,43608.0,2025-01-14,2025,2026-01-20,Q1,Bookings,Closed Lost,Jackson Batchelder,Verity Dialog,,,Cold Outreach,,No access to EB,champions don't think the owner will be receptive to new tech during a lull in enrollments,,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/32022866012
32342315064,SAE Institute - FA Services,174979.88,174979.88,2025-01-22,2025,2026-03-02,Q1,Bookings,Closed Lost,Noel Suarez,FA Service,,,,,Bad timing,"Bad timing, going through ECMC implementation and COO departing",None,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/32342315064
32313226049,Porter and Chester Institute - Verity,345600.0,345600.0,2025-01-22,2025,2026-01-06,Q1,Bookings,Closed Lost,Jackson Batchelder,Verity Professional Services,,,Cold Outreach,,No contact,Couldn't get a champion or receive consistent communication even though we know they are shopping and interested,"Orbund, Modern Campus",,OMIT,,https://app.hubspot.com/contacts/7762472/deal/32313226049
54955881537,Dymond Design Beauty School - Campus Ivy,12528.0,12528.0,2025-01-22,2025,2026-01-29,Q1,Bookings,Closed Lost,Noel Suarez,FA Service;FA Software,,,,,Bad timing,Need to push out to at least Q2 for other administrative priorities,BEN,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/54955881537
32340730972,Westcliff University - New Deal - FA ,0.0,216000.0,2025-01-22,2025,2026-02-06,Q1,Bookings,Closed Lost,Noel Suarez,,,,,,No contact,"No contact or response from the client, but we are aware they selected student first and PowerFaids.  ",ECM,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/32340730972
32324541286,Amberton University,0.0,62400.0,2025-01-22,2025,2026-01-28,Q1,Bookings,Closed Lost,Noel Suarez,,,,,,No contact,"Stopped engaging after demo, more traditional use case",None,,OMIT,,https://app.hubspot.com/contacts/7762472/deal/32324541286
